sample_code,sample_nr,group,day0_leaves,day7_leaves,day14_leaves,day21_leaves,day28_leaves,day35_leaves,day42_leaves,day42_deadleaves,day49_leaves,day49_deadleaves,day28_TotalLeafArea_cm2)8,file_name
s131,131,A,2,6,9,13,13,8,14,1,15,2,0.706,img_s131
s132,132,A,2,5,3,8,7,13,10,3,7,2,0.423,img_s132
s133,133,C,2,4,7,9,11,11,15,0,15,0,0.876,img_s133
s134,134,A,3,4,8,9,8,7,9,3,9,2,0.384,img_s134
s135,135,A,3,5,5,5,8,7,9,3,10,4,0.431,img_s135
s136,136,C,2,4,6,8,8,11,10,1,10,1,0.381,img_s136
s137,137,C,3,4,4,5,7,8,11,1,11,1,0.291,img_s137
s138,138,C,3,6,6,,,,,,,,,
s139,139,C,3,5,9,9,11,10,13,1,13,1,0.569,img_s139
s140,140,C,2,2,3,5,6,6,6,1,7,0,0.311,img_s140
s141,141,A,2,5,8,9,10,9,12,1,11,1,0.603,img_s141
s142,142,A,3,5,7,7,11,12,12,1,16,2,0.941,img_s142
s143,143,A,2,3,5,7,10,11,12,1,13,1,0.674,img_s143
s144,144,A,2,4,6,9,11,9,11,2,9,0,0.644,img_s144
s145,145,C,2,2,3,6,7,8,8,0,8,0,0.474,img_s145
s146,146,A,1,3,5,6,8,10,9,0,10,0,0.528,img_s146
s147,147,C,2,3,3,5,7,7,8,1,10,1,0.332,img_s147
s148,148,C,2,3,4,6,10,10,10,1,11,1,0.468,img_s148
s149,149,A,2,4,6,7,9,8,9,1,9,2,0.423,img_s149
s150,150,A,3,5,6,9,8,9,10,1,10,1,0.632,img_s150
s151,151,C,2,5,8,10,11,15,16,0,16,0,0.696,img_s151
s152,152,A,3,5,6,9,13,15,13,0,17,4,0.877,img_s152
s153,153,A,2,8,12,12,13,8,12,2,16,5,0.512,img_s153
s154,154,C,2,6,7,10,12,14,14,0,15,0,0.667,img_s154
s155,155,C,2,4,6,8,9,13,14,1,14,1,0.513,img_s155
s156,156,C,2,3,5,8,10,9,11,1,11,1,0.686,img_s156
s157,157,A,2,4,3,6,8,8,9,3,10,2,0.416,img_s157
s158,158,A,1,3,4,6,6,6,7,1,8,1,0.477,img_s158
s159,159,C,2,4,6,8,11,11,14,2,14,0,0.705,img_s159
s160,160,C,2,3,5,6,8,9,12,0,11,0,0.451,img_s160
s161,161,C,,,,3,3,3,3,1,5,3,0.086,img_s161
